ID Kalimat;Kalimat Bahasa Indonesia;Gloss
S01;Saya mencium bau badan dia;AKU CIUM BADAN DIA
S02;Saya melihat ada ular masuk kelas;AKU LIHAT ADA ULAR MASUK KELAS
S03;Nilai ku jelek;AKU NILAI JELEK
S04;Saya sering pusing, saya harus periksa ke mana?;AKU PUSING AKU HARUS PERIKSA MANA
S05;Apa kamu pernah membaca novel bahasa inggris?;APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
S06;Di mana ayah sama Ibu?;AYAH SAMA IBU MANA
S07;Badan ku gemuk, tapi badan adik kurus;BADAN AKU GEMUK TAPI BADAN ADIK KURUS
S08;Dia menyobek buku saya;BUKU AKU SOBEK GEGARA DIA
S09;Dia anak baik sehingga banyak orang menyukainya;DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
S10;Dia mengejek saya;DIA MENGEJEK AKU
S11;Kamu tidak boleh pulang sekarang.;GAKBOLEH PULANG SEKARANG KAMU
S12;Ibu aku punya kucing sama ikan.;IBU AKU PUNYA KUCING SAMA IKAN
S13;Kakak saya memberi saya hadiah.;KAKAK AKU KASIH HADIAH BUAT AKU
S14;Kapan kamu belajar Bisindo?;KAMU BELAJAR BISINDO KAPAN
S15;Kemana kamu mau pergi?;KAMU PERGI MANA
S16;Berapa jumlah anggota keluarga kamu?;KAMU PUNYA ANGGOTA KELUARGA BERAPA
S17;Mengapa kemarin kamu tidak kuliah?;KENAPA KAMU GAK MASUK KULIAH KEMARIN
S18;Jam berapa kita istirahat?;KITA ISTIRAHAT JAM BERAPA
S19;Bagaimana keadaan ibumu?;MANA IBU KAMU BAIK-BAIK ATAU TIDAK
S20;Nama isyarat kamu apa?;NAMA ISYARAT KAMU APA
S21;Di apotek mana obat ini bisa dibeli?;OBAT BISA BELI TOKO MANA
S22;Orang jahat di sana memukul saya berulang.;ORANG JAHAT SANA PUKUL AKU BERULANG
S23;Pencuri di sana dipukul polisi.;POLISI SANA PUKUL PENCURI
S24;Rumah kamu di mana?;RUMAH DIMANA KAMU
S25;Berita di sana sudah dilihat oleh ribuan orang.;SANA BERITA SUDAH BANYAK RIBUAN ORANG LIHAT
S26;Nasi padang di sana enak, tetapi mahal;SANA ENAK NASI PADANG TAPI MAHAL
S27;Toilet di sana kotor;SANA TOILET KOTOR
S28;Sepatu dia kotor;SEPATU DIA KOTOR
S29;Tempat sampah banyak semut;TONG-SAMPAH ADA SEMUT BANYAK
S30;Kambing di sana dimakan ular;ULAR SANA MAKAN KAMBING